street name	stripped name
Hull Street Rd	Hull Street
Hunt Ave	Hunt
Hunter Holmes Dr	Hunter Holmes
Huntland Rd	Huntland
Huntley Rd	Huntley
Huth Rd	Huth
Huxley St	Huxley
H Whiting Cir	H Whiting
Idlewood Ave	Idlewood
Idlewyld Rd	Idlewyld
Ilex Ave	Ilex
Industry Ave	Industry
Ingalls Dr	Ingalls
Ingelnook Ct	Ingelnook
Inglenook Ct	Inglenook
Ingram Ave	Ingram
Irby Dr	Irby
Iris Ln	Iris
Iron Bridge Rd	Iron Bridge
Irvington St	Irvington
Ivanhoe St	Ivanhoe
Ivymount Rd	Ivymount
Jacquelin Ct	Jacquelin
Jacquelin St	Jacquelin
Jahnke Rd	Jahnke
James Falls Dr	James Falls
James Riverwatch Dr	James Riverwatch
Jamestown Ave	Jamestown
Janet Way	Janet
Jarvis Rd	Jarvis
Jasonwood Ct	Jasonwood
Jasper Ave	Jasper
Jefferson Ave	Jefferson
Jefferson Davis Hwy	Jefferson Davis
Jefferson Village Dr	Jefferson Village
Jennie Scher Rd	Jennie Scher
Jervie Dr	Jervie
Jessamine St	Jessamine
Jeter Ave	Jeter
John Christopher Ct	John Christopher
Joplin Ave	Joplin
Judah St	Judah
Judson Rd	Judson
Junaluska Cir	Junaluska
Junaluska Ct	Junaluska
June Dr	June
Juniper St	Juniper
Kaki Dr	Kaki
Kalimat Ln	Kalimat
Kane St	Kane
Kansas Ave	Kansas
Keaneland Dr	Keaneland
Keichtee Dr	Keichtee
Keighly Rd	Keighly
Keller Rd	Keller
Kelly Rd	Kelly
Kelnor Ave	Kelnor
Kelrae Dr	Kelrae
Kelso Rd	Kelso
Kemper St	Kemper
Kenbury Ct	Kenbury
Kenbury Rd	Kenbury
Kendall Rd	Kendall
Kenmore Cir	Kenmore
Kenmore Rd	Kenmore
Kennondale Ln	Kennondale
Kensington Ave	Kensington
Kent Rd	Kent
Kenyon Ave	Kenyon
Kern St	Kern
Keswick Ave	Keswick
Keswick Ln	Keswick
Keuka Rd	Keuka
Kildare Dr	Kildare
Kimberly Cir	Kimberly
Kimberly Dr	Kimberly
Kimrod Rd	Kimrod
Kingcrest Pkwy	Kingcrest
Kingsbury Rd	Kingsbury
King St	King
Kingsway Ct	Kingsway
Kingsway Rd	Kingsway
Kingswood St	Kingswood
King William Rd	King William
Kinney St	Kinney
Kinsley Ave	Kinsley
Kirby Rd	Kirby
Kittering Dr	Kittering
Klondike Rd	Klondike
Knob Rd	Knob
Kristenleaf Ct	Kristenleaf
Krouse St	Krouse
Kuhn St	Kuhn
Labrook Concourse	Labrook Concourse
Labrook Dr	Labrook
Lacorolla Ave	Lacorolla
Ladbroke Ct	Ladbroke
Lady St	Lady
Lafayette St	Lafayette
Lakeshire Ct	Lakeshire
Lake Terrace Ct	Terrace
Lakeview Ave	Lakeview
Lakeview Ln	Lakeview
Lake Village Dr	Village
Lamar Dr	Lamar
Lamb Ave	Lamb
Lamberts Ave	Lamberts
Lambeth Rd	Lambeth
Lamesa Dr	Lamesa
Lamont St	Lamont
Lancelot Ave	Lancelot
Landria Dr	Landria
Laneview Dr	Laneview
Lanewood Dr	Lanewood
Langdon Ct	Langdon
Langdon Dr	Langdon
Langston Ave	Langston
Lansdale Rd	Lansdale
Lansing Ave	Lansing
Lanvale Ave	Lanvale
Laporte Rd	Laporte
Larchmont Ln	Larchmont
Larne Ave	Larne
Larne Rd	Larne
Larrymore Ct	Larrymore
Larrymore Rd	Larrymore
Larus Ct	Larus
Lasalle Dr	Lasalle
Lauradale Ln	Lauradale
Lauradale Ln Con	Lauradale  Con
Laurelbrook Dr	Laurelbrook
Laurel Fork Dr	Laurel Fork
Laveta Dr	Laveta
Lawson St	Lawson
Leake Ave	Leake
Lebanon St	Lebanon
Legion Ave	Legion
Leicester Rd	Leicester
Leigh Street Viaduct	Leigh Street Viaduct
Lenmore St	Lenmore
Leonard Pkwy	Leonard
Letcher Ave	Letcher
Lethbridge Rd	Lethbridge
Levering Ln	Levering
Lewis Ave	Lewis
Lexington Rd	Lexington
Libbie Ave	Libbie
Libby Ter	Libby
Lilac Ln	Lilac
Limerick Dr	Limerick
